#	date	

15:47:46.156803		MAIN	INFO	SCENARIO	FILENAME	scenario_settings5.txt
15:47:47.882599		TRACK	STATE	CURSOR	X	-0.017334560644952285
15:47:47.882699		TRACK	STATE	CURSOR	Y	-0.01611971999877175
15:47:47.902825		TRACK	STATE	CURSOR	X	-0.017666354496373844
15:47:47.902940		TRACK	STATE	CURSOR	Y	-0.017664410369735404
15:47:47.923087		TRACK	STATE	CURSOR	X	-0.01801857274568865
15:47:47.923187		TRACK	STATE	CURSOR	Y	-0.019290829254218964
15:47:47.943318		TRACK	STATE	CURSOR	X	-0.018357612087253988
15:47:47.943447		TRACK	STATE	CURSOR	Y	-0.010843801971723648
15:47:47.963636		TRACK	STATE	CURSOR	X	-0.01870009888746807
15:47:47.963781		TRACK	STATE	CURSOR	Y	-0.012400407945894124
15:47:47.984012		TRACK	STATE	CURSOR	X	-0.019045974828167323
15:47:47.984141		TRACK	STATE	CURSOR	Y	-0.01396037959947321
15:47:48.004363		TRACK	STATE	CURSOR	X	-0.01941272724546596
15:47:48.004473		TRACK	STATE	CURSOR	Y	-0.015601678812835772
15:47:48.024819		TRACK	STATE	CURSOR	X	-0.019765364530595225
15:47:48.024921		TRACK	STATE	CURSOR	Y	-0.017167711523945917
15:47:48.044914		TRACK	STATE	CURSOR	X	-0.010121207137421586
15:47:48.045027		TRACK	STATE	CURSOR	Y	-0.01873629088161556
15:47:48.065396		TRACK	STATE	CURSOR	X	-0.010498223535084636
15:47:48.065507		TRACK	STATE	CURSOR	Y	-0.010385745312174706
15:47:48.085732		TRACK	STATE	CURSOR	X	-0.01086044158237993
15:47:48.085844		TRACK	STATE	CURSOR	Y	-0.011958702880557314
15:47:48.106057		TRACK	STATE	CURSOR	X	-0.011225672321875749
15:47:48.106168		TRACK	STATE	CURSOR	Y	-0.013533384592541452
15:47:48.126401		TRACK	STATE	CURSOR	X	-0.011612335828393354
15:47:48.126514		TRACK	STATE	CURSOR	Y	-0.015188360319717273
15:47:48.146665		TRACK	STATE	CURSOR	X	-0.011983538247254991
15:47:48.146771		TRACK	STATE	CURSOR	Y	-0.01676573151487203
15:47:48.166991		TRACK	STATE	CURSOR	X	-0.012357552120916429
15:47:48.167101		TRACK	STATE	CURSOR	Y	-0.01834400208431521
15:47:48.187277		TRACK	STATE	CURSOR	X	-0.012753218299578947
15:47:48.187392		TRACK	STATE	CURSOR	Y	-0.010001857929880181
15:47:48.207569		TRACK	STATE	CURSOR	X	-0.013132782663883123
15:47:48.207673		TRACK	STATE	CURSOR	Y	-0.011581125845291149
15:47:48.228157		TRACK	STATE	CURSOR	X	-0.01353412420006945
15:47:48.228282		TRACK	STATE	CURSOR	Y	-0.01323943145211752
15:47:48.248728		TRACK	STATE	CURSOR	X	-0.013918946395070372
15:47:48.249010		TRACK	STATE	CURSOR	Y	-0.014818558698247202
15:47:48.268819		TRACK	STATE	CURSOR	X	-0.01430622491604753
15:47:48.268935		TRACK	STATE	CURSOR	Y	-0.016397204433406656
15:47:48.289119		TRACK	STATE	CURSOR	X	-0.014715431871425348
15:47:48.289232		TRACK	STATE	CURSOR	Y	-0.0180539681171097
15:47:48.309408		TRACK	STATE	CURSOR	X	-0.01510751892674425
15:47:48.309518		TRACK	STATE	CURSOR	Y	-0.019630780875092697
15:47:48.329659		TRACK	STATE	CURSOR	X	-0.015501839165600337
15:47:48.329772		TRACK	STATE	CURSOR	Y	-0.011206287219678332
15:47:48.350234		TRACK	STATE	CURSOR	X	-0.01591819695672786
15:47:48.350349		TRACK	STATE	CURSOR	Y	-0.012858867375690216
15:47:48.370993		TRACK	STATE	CURSOR	X	-0.016316860285473894
15:47:48.371111		TRACK	STATE	CURSOR	Y	-0.014430851640288898
15:47:48.391466		TRACK	STATE	CURSOR	X	-0.016737610362010335
15:47:48.391588		TRACK	STATE	CURSOR	Y	-0.016079138792838187
15:47:48.411903		TRACK	STATE	CURSOR	X	-0.017140295129075694
15:47:48.412017		TRACK	STATE	CURSOR	Y	-0.017646468716602765
15:47:48.432561		TRACK	STATE	CURSOR	X	-0.017565096116866324
15:47:48.432666		TRACK	STATE	CURSOR	Y	-0.019289275633394092
15:47:48.453314		TRACK	STATE	CURSOR	X	-0.01797147377918218
15:47:48.453575		TRACK	STATE	CURSOR	Y	-0.010850822267585198
15:47:48.472992		TRACK	STATE	CURSOR	X	-0.018379531603337072
15:47:48.473088		TRACK	STATE	CURSOR	Y	-0.012409139305348356
15:47:48.493204		TRACK	STATE	CURSOR	X	-0.018809712451493904
15:47:48.493321		TRACK	STATE	CURSOR	Y	-0.014041604039933415
15:47:48.513499		TRACK	STATE	CURSOR	X	-0.019220961978664325
15:47:48.513598		TRACK	STATE	CURSOR	Y	-0.015592465866710625
15:47:48.533659		TRACK	STATE	CURSOR	X	-0.01963364365763524
15:47:48.533762		TRACK	STATE	CURSOR	Y	-0.01713928514718837
15:47:48.553905		TRACK	STATE	CURSOR	X	-0.010047674673567293
15:47:48.554017		TRACK	STATE	CURSOR	Y	-0.018681796625399347
15:47:48.574111		TRACK	STATE	CURSOR	X	-0.01048376804814641
15:47:48.574221		TRACK	STATE	CURSOR	Y	-0.010296507946942838
15:47:48.594340		TRACK	STATE	CURSOR	X	-0.010900303264514246
15:47:48.594460		TRACK	STATE	CURSOR	Y	-0.01182936219505767
15:47:48.614835		TRACK	STATE	CURSOR	X	-0.011317930810935175
15:47:48.614936		TRACK	STATE	CURSOR	Y	-0.01335710413926368
15:47:48.635051		TRACK	STATE	CURSOR	X	-0.011736565009821896
15:47:48.635156		TRACK	STATE	CURSOR	Y	-0.014879471634945617
15:47:48.655206		TRACK	STATE	CURSOR	X	-0.01217711982851513
15:47:48.655334		TRACK	STATE	CURSOR	Y	-0.016471887387142697
15:47:48.675430		TRACK	STATE	CURSOR	X	-0.012597546960570747
15:47:48.675544		TRACK	STATE	CURSOR	Y	-0.017982421462592275
15:47:48.695613		TRACK	STATE	CURSOR	X	-0.013018715279736038
15:47:48.695859		TRACK	STATE	CURSOR	Y	-0.019486787112041215
15:47:48.716245		TRACK	STATE	CURSOR	X	-0.013461643026748125
15:47:48.716361		TRACK	STATE	CURSOR	Y	-0.011059449598970721
15:47:48.736441		TRACK	STATE	CURSOR	X	-0.013884053852064612
15:47:48.736554		TRACK	STATE	CURSOR	Y	-0.012550363424457119
15:47:48.756625		TRACK	STATE	CURSOR	X	-0.014306934399726743
15:47:48.756740		TRACK	STATE	CURSOR	Y	-0.014034324126912698
15:47:48.776866		TRACK	STATE	CURSOR	X	-0.014730194414324075
15:47:48.776962		TRACK	STATE	CURSOR	Y	-0.015511076643437103
15:47:48.797143		TRACK	STATE	CURSOR	X	-0.015174926412543087
15:47:48.797235		TRACK	STATE	CURSOR	Y	-0.01705363117632331
15:47:48.817329		TRACK	STATE	CURSOR	X	-0.015598679664013257
15:47:48.817450		TRACK	STATE	CURSOR	Y	-0.01851481446787285
15:47:48.837686		TRACK	STATE	CURSOR	X	-0.016022533462379716
15:47:48.837813		TRACK	STATE	CURSOR	Y	-0.019968018974370255
15:47:48.857881		TRACK	STATE	CURSOR	X	-0.016446395205818774
15:47:48.857995		TRACK	STATE	CURSOR	Y	-0.01141299458361609
15:47:48.878133		TRACK	STATE	CURSOR	X	-0.016891356655913313
15:47:48.878250		TRACK	STATE	CURSOR	Y	-0.012921090418617465
15:47:48.898915		TRACK	STATE	CURSOR	X	-0.01731494288867877
15:47:48.899017		TRACK	STATE	CURSOR	Y	-0.0143484205003138
15:47:48.919194		TRACK	STATE	CURSOR	X	-0.017759407725052613
15:47:48.919351		TRACK	STATE	CURSOR	Y	-0.0158374443033681
15:47:48.939550		TRACK	STATE	CURSOR	X	-0.018182322433601614
15:47:48.939671		TRACK	STATE	CURSOR	Y	-0.017246095270910103
15:47:48.959881		TRACK	STATE	CURSOR	X	-0.018604764549520286
15:47:48.959992		TRACK	STATE	CURSOR	Y	-0.018645263171918044
15:47:48.980193		TRACK	STATE	CURSOR	X	-0.01904771536478441
15:47:48.980305		TRACK	STATE	CURSOR	Y	-0.01010391915976411
15:47:49.000531		TRACK	STATE	CURSOR	X	-0.019468888801137903
15:47:49.000645		TRACK	STATE	CURSOR	Y	-0.01148289368307401
15:47:49.020838		TRACK	STATE	CURSOR	X	-0.019889296137417196
15:47:49.020962		TRACK	STATE	CURSOR	Y	-0.012851653666642213
15:47:49.041574		TRACK	STATE	CURSOR	X	-0.010329793018431102
15:47:49.041681		TRACK	STATE	CURSOR	Y	-0.014277599426062862
15:47:49.061865		TRACK	STATE	CURSOR	X	-0.010748325660596013
15:47:49.061969		TRACK	STATE	CURSOR	Y	-0.015624681870050236
15:47:49.082134		TRACK	STATE	CURSOR	X	-0.011186638316713344
15:47:49.082234		TRACK	STATE	CURSOR	Y	-0.017027350012412547
15:47:49.102390		TRACK	STATE	CURSOR	X	-0.011602884346780593
15:47:49.102495		TRACK	STATE	CURSOR	Y	-0.0183517753760127
15:47:49.122652		TRACK	STATE	CURSOR	X	-0.012017864441011822
15:47:49.122761		TRACK	STATE	CURSOR	Y	-0.019664797611008707
15:47:49.143000		TRACK	STATE	CURSOR	X	-0.012431479387647966
15:47:49.143108		TRACK	STATE	CURSOR	Y	-0.010966189072976919
15:47:49.163398		TRACK	STATE	CURSOR	X	-0.012864196883259094
15:47:49.163515		TRACK	STATE	CURSOR	Y	-0.012319885464588039
15:47:49.183817		TRACK	STATE	CURSOR	X	-0.013274701599757197
15:47:49.183921		TRACK	STATE	CURSOR	Y	-0.013596730060740666
15:47:49.204076		TRACK	STATE	CURSOR	X	-0.013703932489464022
15:47:49.204181		TRACK	STATE	CURSOR	Y	-0.014924160587676859
15:47:49.224747		TRACK	STATE	CURSOR	X	-0.014110905581463629
15:47:49.224851		TRACK	STATE	CURSOR	Y	-0.01617552599989365
15:47:49.244848		TRACK	STATE	CURSOR	X	-0.014516002191842356
15:47:49.244962		TRACK	STATE	CURSOR	Y	-0.017414129351327273
15:47:49.265150		TRACK	STATE	CURSOR	X	-0.014939223321221823
15:47:49.265254		TRACK	STATE	CURSOR	Y	-0.018700691666935998
15:47:49.285375		TRACK	STATE	CURSOR	X	-0.015340156427544162
15:47:49.285482		TRACK	STATE	CURSOR	Y	-0.019912460596419962
15:47:49.305642		TRACK	STATE	CURSOR	X	-0.015738903502550146
15:47:49.305753		TRACK	STATE	CURSOR	Y	-0.01111081597086209
15:47:49.325857		TRACK	STATE	CURSOR	X	-0.016135362530065978
15:47:49.325970		TRACK	STATE	CURSOR	Y	-0.012295548480655222
15:47:49.346181		TRACK	STATE	CURSOR	X	-0.016549070112776704
15:47:49.346291		TRACK	STATE	CURSOR	Y	-0.013524629396629665
15:47:49.366438		TRACK	STATE	CURSOR	X	-0.016940518738715077
15:47:49.366536		TRACK	STATE	CURSOR	Y	-0.014680789906292494
15:47:49.386596		TRACK	STATE	CURSOR	X	-0.017329366776587585
15:47:49.386705		TRACK	STATE	CURSOR	Y	-0.015822702744847296
15:47:49.406968		TRACK	STATE	CURSOR	X	-0.01771551134693969
15:47:49.407075		TRACK	STATE	CURSOR	Y	-0.016950167624276112
15:47:49.427321		TRACK	STATE	CURSOR	X	-0.01811794077387057
15:47:49.427422		TRACK	STATE	CURSOR	Y	-0.01811823953777795
15:47:49.447441		TRACK	STATE	CURSOR	X	-0.018498220879242973
15:47:49.447626		TRACK	STATE	CURSOR	Y	-0.019215469731997704
15:47:49.467842		TRACK	STATE	CURSOR	X	-0.018875482704810313
15:47:49.467941		TRACK	STATE	CURSOR	Y	-0.010297655484904357
15:47:49.488050		TRACK	STATE	CURSOR	X	-0.01924962274549668
15:47:49.488150		TRACK	STATE	CURSOR	Y	-0.011364606055473432
15:47:49.508296		TRACK	STATE	CURSOR	X	-0.01963899658326993
15:47:49.508422		TRACK	STATE	CURSOR	Y	-0.012468301281679793
15:47:49.528622		TRACK	STATE	CURSOR	X	-0.010006412902641553
15:47:49.528736		TRACK	STATE	CURSOR	Y	-0.013503433736735017
15:47:49.548801		TRACK	STATE	CURSOR	X	-0.01037039108320076
15:47:49.548894		TRACK	STATE	CURSOR	Y	-0.014522764418893582
15:47:49.568969		TRACK	STATE	CURSOR	X	-0.010730827235204883
15:47:49.569065		TRACK	STATE	CURSOR	Y	-0.015526112636233368
15:47:49.589152		TRACK	STATE	CURSOR	X	-0.011105359348117442
15:47:49.589270		TRACK	STATE	CURSOR	Y	-0.016562232257584242
15:47:49.609390		TRACK	STATE	CURSOR	X	-0.011458209329858431
15:47:49.609488		TRACK	STATE	CURSOR	Y	-0.0175322623521576
15:47:49.629717		TRACK	STATE	CURSOR	X	-0.011807200126741498
15:47:49.629820		TRACK	STATE	CURSOR	Y	-0.01848577477739799
15:47:49.649757		TRACK	STATE	CURSOR	X	-0.012152227708056547
15:47:49.649887		TRACK	STATE	CURSOR	Y	-0.019422599368072724
15:47:49.670010		TRACK	STATE	CURSOR	X	-0.012493188046065433
15:47:49.670124		TRACK	STATE	CURSOR	Y	-0.010342568628714558
15:47:49.690277		TRACK	STATE	CURSOR	X	-0.01284670522461582
15:47:49.690388		TRACK	STATE	CURSOR	Y	-0.01129021552011906
15:47:49.710548		TRACK	STATE	CURSOR	X	-0.013179002589736382
15:47:49.710661		TRACK	STATE	CURSOR	Y	-0.012175119133327453
15:47:49.730886		TRACK	STATE	CURSOR	X	-0.013506915601602306
15:47:49.730994		TRACK	STATE	CURSOR	Y	-0.013042673324681018
15:47:49.751135		TRACK	STATE	CURSOR	X	-0.013846391960581053
