#	date	

22:53:34.972960		MAIN	INFO	SCENARIO	FILENAME	scenario_demo.txt
22:53:41.567391		TRACK	STATE	CURSOR	Y	-0.010450015936940676
22:53:41.586969		TRACK	STATE	CURSOR	X	-0.01094201827260933
22:53:41.587981		TRACK	STATE	CURSOR	Y	-0.011982370775192907
22:53:41.608067		TRACK	STATE	CURSOR	X	-0.011359750351064393
22:53:41.608067		TRACK	STATE	CURSOR	Y	-0.013509587056977397
22:53:41.627591		TRACK	STATE	CURSOR	X	-0.011799441634323107
22:53:41.628592		TRACK	STATE	CURSOR	Y	-0.015107347051439663
22:53:41.648329		TRACK	STATE	CURSOR	X	-0.01221912668332578
22:53:41.648329		TRACK	STATE	CURSOR	Y	-0.016623210989892487
22:53:41.668527		TRACK	STATE	CURSOR	X	-0.012639631891984344
22:53:41.669488		TRACK	STATE	CURSOR	Y	-0.018133139877545695
22:53:41.688579		TRACK	STATE	CURSOR	X	-0.013060869480622279
22:53:41.688579		TRACK	STATE	CURSOR	Y	-0.019636874457963832
22:53:41.708847		TRACK	STATE	CURSOR	X	-0.013482751025702231
22:53:41.708847		TRACK	STATE	CURSOR	Y	-0.011134156476520706
22:53:41.728901		TRACK	STATE	CURSOR	X	-0.013905187471339583
22:53:41.728901		TRACK	STATE	CURSOR	Y	-0.012624728721073323
22:53:41.749805		TRACK	STATE	CURSOR	X	-0.014349244819605587
22:53:41.749805		TRACK	STATE	CURSOR	Y	-0.014182327945540045
22:53:41.769865		TRACK	STATE	CURSOR	X	-0.014772537793733628
22:53:41.769865		TRACK	STATE	CURSOR	Y	-0.01565834565938428
22:53:41.790063		TRACK	STATE	CURSOR	X	-0.015196110263943822
22:53:41.790063		TRACK	STATE	CURSOR	Y	-0.017126875961236625
22:53:41.810581		TRACK	STATE	CURSOR	X	-0.015641062042814027
22:53:41.811596		TRACK	STATE	CURSOR	Y	-0.01866049810088754
22:53:41.831180		TRACK	STATE	CURSOR	X	-0.01608611448762031
22:53:41.831180		TRACK	STATE	CURSOR	Y	-0.01018529600289353
22:53:41.851774		TRACK	STATE	CURSOR	X	-0.01650996940184004
22:53:41.852782		TRACK	STATE	CURSOR	Y	-0.01162901578660624
22:53:41.871551		TRACK	STATE	CURSOR	X	-0.016954908591748433
22:53:41.872552		TRACK	STATE	CURSOR	Y	-0.013135752969890781
22:53:41.892556		TRACK	STATE	CURSOR	X	-0.017399629820688434
22:53:41.893554		TRACK	STATE	CURSOR	Y	-0.014632816353420864
22:53:41.912982		TRACK	STATE	CURSOR	X	-0.01782287130829434
22:53:41.913983		TRACK	STATE	CURSOR	Y	-0.016049336959598863
22:53:41.933298		TRACK	STATE	CURSOR	X	-0.01824572121333108
22:53:41.933298		TRACK	STATE	CURSOR	Y	-0.017456580919080214
22:53:41.953418		TRACK	STATE	CURSOR	X	-0.0186680841932935
22:53:41.954421		TRACK	STATE	CURSOR	Y	-0.018854305498369466
22:53:41.973896		TRACK	STATE	CURSOR	X	-0.01911093641225741
22:53:41.975309		TRACK	STATE	CURSOR	Y	-0.01031140716908937
22:53:41.994402		TRACK	STATE	CURSOR	X	-0.019532001109614193
22:53:41.994402		TRACK	STATE	CURSOR	Y	-0.01168886465727865
22:53:42.015617		TRACK	STATE	CURSOR	X	-0.01997327713109301
22:53:42.015617		TRACK	STATE	CURSOR	Y	-0.013124159071545587
22:53:42.035222		TRACK	STATE	CURSOR	X	-0.010392636870324693
22:53:42.036593		TRACK	STATE	CURSOR	Y	-0.014480349486733534
22:53:42.056171		TRACK	STATE	CURSOR	X	-0.010831907683633917
22:53:42.057172		TRACK	STATE	CURSOR	Y	-0.01589279409210985
22:53:42.076783		TRACK	STATE	CURSOR	X	-0.0112699840479737
22:53:42.077799		TRACK	STATE	CURSOR	Y	-0.017293136346893126
22:53:42.097253		TRACK	STATE	CURSOR	X	-0.011685984809933084
22:53:42.097754		TRACK	STATE	CURSOR	Y	-0.01861529938442423
22:53:42.117455		TRACK	STATE	CURSOR	X	-0.01210069982339815
22:53:42.117455		TRACK	STATE	CURSOR	Y	-0.019926013617347305
22:53:42.137824		TRACK	STATE	CURSOR	X	-0.012534658158860243
22:53:42.138826		TRACK	STATE	CURSOR	Y	-0.011289693129747017
22:53:42.158557		TRACK	STATE	CURSOR	X	-0.012966974128628234
22:53:42.159663		TRACK	STATE	CURSOR	Y	-0.01264023889965959
22:53:42.179109		TRACK	STATE	CURSOR	X	-0.013377070776898642
22:53:42.179109		TRACK	STATE	CURSOR	Y	-0.013914025857164928
22:53:42.200314		TRACK	STATE	CURSOR	X	-0.013785472377954524
22:53:42.200314		TRACK	STATE	CURSOR	Y	-0.015175444210464193
22:53:42.220019		TRACK	STATE	CURSOR	X	-0.014192078256714704
22:53:42.220019		TRACK	STATE	CURSOR	Y	-0.016424274568432283
22:53:42.239968		TRACK	STATE	CURSOR	X	-0.014596787434501999
22:53:42.239968		TRACK	STATE	CURSOR	Y	-0.017660299552600435
22:53:42.260050		TRACK	STATE	CURSOR	X	-0.01501957993647752
22:53:42.260050		TRACK	STATE	CURSOR	Y	-0.018944108418062468
22:53:42.279615		TRACK	STATE	CURSOR	X	-0.015420083986068431
22:53:42.280616		TRACK	STATE	CURSOR	Y	-0.01015321148470666
22:53:42.300158		TRACK	STATE	CURSOR	X	-0.015818381620597656
22:53:42.300158		TRACK	STATE	CURSOR	Y	-0.011348858961786753
22:53:42.320537		TRACK	STATE	CURSOR	X	-0.016214370775738347
22:53:42.320537		TRACK	STATE	CURSOR	Y	-0.012530841972532155
22:53:42.340537		TRACK	STATE	CURSOR	X	-0.016607949154970568
22:53:42.340537		TRACK	STATE	CURSOR	Y	-0.013698953824294842
